,Country Code,,Social Progress Index,,Basic Human Needs,Foundations of Wellbeing,Opportunity,,Nutrition and Basic Medical Care,Water and Sanitation,Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and Communications,Health and Wellness,Ecosystem Sustainability,Personal Rights,Personal Freedom and Choice,Tolerance and Inclusion,Access to Advanced Education,,Undernourishment (% of pop.),Depth of food deficit (calories/undernourished person),"Maternal mortality rate (deaths/100,000 live births)","Stillbirth rate (deaths/1,000 live births)","Child mortality rate (deaths/1,000 live births)","Deaths from infectious diseases (deaths/100,000)",Access to piped water (% of pop.),Rural vs. urban access to improved water source (absolute difference between % of pop.),Access to improved sanitation facilities (% of pop.),Availability of affordable housing (% satisfied),Access to electricity (% of pop.),Quality of electricity supply (1=low; 7=high),"Indoor air pollution attributable deaths (deaths/100,000)","Homicide rate (1= <2/100,000; 5= >20/100,000",Level of violent crime (1=low; 5=high),Perceived criminality (1=low; 5=high),Political terror (1=low; 5=high),"Traffic deaths (deaths/100,000)",Adult literacy rate (% of pop. aged 15+),Primary school enrollment (% of children),Lower secondary school enrollment (% of children),Upper secondary school enrollment (% of children),Gender parity in secondary enrollment (girls/boys),Mobile telephone subscriptions (subscriptions/100 people),Internet users (% of pop.),Press Freedom Index (0=most free; 100=least free),Life expectancy (years),Non-communicable disease deaths between the ages of 30 and 70 (probability of dying),Obesity rate (% of pop.),"Outdoor air pollution attributable deaths (deaths/100,000)","Suicide rate (deaths/100,000)",Greenhouse gas emissions (CO2 equivalents per GDP),Water withdrawals as a percent of resources,Biodiversity and habitat (0=no protection; 100=high protection),Political rights (1=full rights; 7=no rights),Freedom of speech (0=low; 2=high),Freedom of assembly/association (0=low; 2=high),Freedom of movement (0=low; 4=high),Private property rights (0=none; 100=full),Freedom over life choices (% satisfied),Freedom of religion (1=low; 4=high),"Modern slavery, human trafficking and child marriage (1=low; 100=high)",Satisfied demand for contraception (% of women),Corruption (0=high; 100=low),Women treated with respect (0=low; 100=high),Tolerance for immigrants (0=low; 100=high),Tolerance for homosexuals (0=low; 100=high),Discrimination and violence against minorities (0=low; 10=high),Religious tolerance (1=low; 4=high),Community safety net (0=low; 100=high),Years of tertiary schooling,Women's average years in school,Inequality in the attainment of education (0=low; 1=high),Number of globally ranked universities (0=none; 5= >50)
Egypt,EGY,,59.97,,76.77,68.98,34.17,,92.30,96.39,61.12,57.25,84.33,60.31,69.77,61.50,28.21,57.07,24.67,26.72,,<5.0,9,66,13,21,76,96.1,1.2,95.0,17,100,3.4,5.9,1,4,3,4,13.2,73.9,95.6,100.8,52.9,1.0,119.9,44.1,48.7,70.7,22,34.6,17,2.3,639.2,1.3,65.3,6,1,0,2,20,44,1,5.1,84.3,32,69,25,,8.5,1,73,0.29,8.4,0.41,1
El Salvador,SLV,,64.70,,68.98,67.20,57.92,,88.02,73.59,76.56,37.73,83.86,65.71,75.28,43.97,72.54,72.66,58.42,28.05,,12.3,80,81,14,16,127,71.8,12.8,70.0,61,92,4.7,24.9,5,5,4,2.5,21.9,84.5,93.6,88.0,45.8,1.0,137.3,25.5,22.9,71.9,15,26.9,7,11.1,331.0,1.5,24.5,2,1,2,4,40,67,4,7.1,89.3,38,27,61,50,5.7,4,80,0.4,8.1,0.32,0
Estonia,EST,,81.28,,87.13,84.39,72.32,,97.61,95.04,76.84,79.02,98.18,93.48,76.38,69.50,97.60,79.46,51.48,60.74,,<5.0,23,2,4,4,21,90.3,2.3,97.9,44,100,5.1,19.5,2,2,3,1,6.5,99.8,94.8,104.0,113.5,1.0,160.4,79.0,9.3,76.1,23,18.9,0,14.5,992.4,2.8,100.0,1,2,2,4,90,65,4,3.5,84.3,68,61,35,27,5.9,4,86,0.92,12.5,0.03,1
Finland,FIN,,86.91,,94.63,84.17,81.92,,98.74,99.83,90.66,89.29,99.25,97.21,78.60,61.63,87.96,93.10,78.74,67.89,,<5.0,8,5,2,3,11,99.4,0.0,100.0,67,100,6.7,0.0,2,1,2,1,5.1,100.0,98.2,99.3,115.1,1.0,172.3,91.0,6.4,80.5,12,19.9,11,18.0,413.5,1.0,61.9,1,1,2,4,90,91,4,1.1,90.7,89,84,72,66,1.4,3,92,0.81,13.4,0.02,3
France,FRA,,81.11,,91.23,79.37,72.72,,98.03,100.00,86.89,79.99,99.21,82.64,80.48,55.16,80.39,84.29,62.03,64.18,,<5.0,2,8,4,4,23,100.0,0.0,100.0,52,100,6.6,0.0,1,2,3,1.5,6.4,99.0,98.3,106.4,114.7,1.0,97.4,83.0,21.6,81.7,12,15.6,12,16.6,284.0,1.8,54.5,1,1,2,3,80,83,3,2.1,93,71,69,66,62,5.9,2,93,0.64,12.5,0.09,4
Georgia,GEO,,63.94,,75.11,67.64,49.07,,80.65,88.89,61.81,69.11,94.91,66.34,63.32,45.98,48.45,66.11,30.16,51.55,,24.7,221,67,17,20,72,78.2,4.1,93.4,65,100,5.3,107.5,2,3,2,2.5,15.7,99.7,98.3,110.3,81.2,0.9,107.8,45.5,30.1,73.8,28,21.2,49,4.8,691.1,1.5,29.6,3,1,0,3,40,60,3,11.6,73.9,49,81,47,6,8.0,2,52,,13.1,0.03,0
Germany,DEU,,84.61,,93.08,84.96,75.81,,98.68,100.00,85.44,88.19,97.38,89.45,79.70,73.30,80.21,86.69,68.47,67.85,,<5.0,2,7,2,4,21,100.0,0.0,100.0,57,100,6.1,0.0,1,2,2,1,4.7,99.0,97.9,99.6,105.8,1.0,111.6,84.0,10.2,80.7,13,21.3,13,10.6,337.6,1.9,100.0,1,1,1,4,90,90,3,2.6,89,78,78,75,63,4.3,2,92,0.64,12.7,0.02,4
Ghana,GHA,,55.96,,52.39,65.63,49.85,,75.78,39.10,42.19,52.50,71.35,63.11,73.92,54.13,78.37,59.76,43.71,17.57,,<5.0,19,350,22,72,608,18.2,12.1,13.5,39,61,2.7,93.0,4,3,3,3,22.2,71.5,81.8,81.6,39.9,0.9,101.0,17.1,17.3,60.8,27,8,9,2.1,724.5,0.1,34.3,1,1,2,4,50,68,4,21.0,40.3,46,69,59,4,4.9,2,68,0.11,6.9,0.41,0
Greece,GRC,,73.43,,86.99,74.85,58.45,,98.36,99.04,76.74,73.83,97.77,69.60,78.65,53.37,64.80,61.44,46.13,61.44,,<5.0,1,3,3,5,25,99.5,0.5,98.6,40,100,5.3,0.0,1,3,2,2.5,12.2,97.3,99.5,110.6,111.0,1.0,120.0,56.0,28.5,80.7,13,17.5,31,3.1,434.1,3.3,66.5,2,1,1,4,40,36,2,1.1,86.5,40,64,40,21,4.8,2,81,0.93,12.9,0.11,2
Guatemala,GTM,,61.37,,66.50,67.95,49.67,,78.77,82.47,65.19,39.59,76.88,57.18,78.00,59.73,65.52,70.94,45.28,16.92,,30.4,199,120,10,32,225,85.5,10.5,80.2,55,82,5.3,50.2,5,5,5,2.5,6.7,75.9,92.8,70.6,56.4,0.9,137.8,16.0,29.4,71.3,16,20.7,4,8.7,566.9,1.0,57.6,3,1,2,4,25,84,4,5.7,69.3,29,26,45,22,7.3,4,80,0.1,5.4,0.36,0
Guinea,GIN,,37.41,,36.48,45.02,30.73,,62.19,30.63,12.10,41.02,40.76,32.02,68.47,38.85,31.63,48.67,36.43,6.17,,17.3,106,610,24,101,759,10.7,25.0,18.5,34,20,1.3,109.6,5,4,4,3,19.6,25.3,74.4,44.3,30.8,0.6,41.8,1.5,28.5,55.6,34,4.7,14,2.7,2030.2,0.1,41.0,5,1,0,2,20,64,3,21.3,30.5,24,57,74,6,7.6,2,54,,1.6,0.42,0
Guyana,GUY,,60.06,,68.49,58.36,53.35,,85.01,81.32,57.78,49.84,87.96,51.38,62.95,31.14,60.50,62.41,53.83,36.64,,5.1,33,280,17,35,194,64.8,4.8,83.9,42,78,2.7,23.4,4,4,3,2,27.8,85.0,76.2,111.5,95.0,1.2,68.8,33.0,27.1,65.9,29,16.9,11,29.7,1833.5,1.8,18.7,2,0,2,4,30,66,4,9.3,58.1,27,,56,19,5.9,4,84,0.02,11.1,0.11,0
